num_filters,num_fc_nodes,dropout_rate,accuracy,training_time,loss
5,32,0.3,0.8773,93.8172516822815,0.47490456172271067
10,32,0.3,0.885,106.24342107772827,0.42827844290193856
20,32,0.3,0.891,133.32763981819153,0.4122560900975583
30,32,0.3,0.8932,158.3336308002472,0.38931245367521294
5,32,0.5,0.8722,92.17168307304382,0.5314440364157085
10,32,0.5,0.8824,101.77761650085449,0.46090269212497825
20,32,0.5,0.8851,128.62916016578674,0.42630741498045827
30,32,0.5,0.887,151.04379844665527,0.41536793193456206
5,32,0.7,0.8559,92.13926100730896,0.6726883941415405
10,32,0.7,0.8757,104.79632711410522,0.527176058610111
20,32,0.7,0.8828,130.39625024795532,0.46414313985467726
30,32,0.7,0.8885,153.50661897659302,0.43847902985190396
5,32,0.9,0.8206,91.65224719047546,1.2638115943304258
10,32,0.9,0.8498,104.43098163604736,0.8492709301300904
20,32,0.9,0.8685,130.48027396202087,0.6269265817140719
30,32,0.9,0.8656,153.37034630775452,0.5671498775784014
5,64,0.3,0.8614,92.14509654045105,0.4775647789962701
10,64,0.3,0.8898,105.82420468330383,0.42018679491142985
20,64,0.3,0.8881,130.9913911819458,0.3988555514839476
30,64,0.3,0.8955,163.13105535507202,0.3836276487659798
5,64,0.5,0.8649,91.2105233669281,0.5585155408805622
10,64,0.5,0.8789,103.195157289505,0.4858085695304659
20,64,0.5,0.8884,131.69122457504272,0.427302434121463
30,64,0.5,0.8928,154.77161407470703,0.40128714808586563
5,64,0.7,0.8672,91.7850079536438,0.6492818976627357
10,64,0.7,0.8794,109.22248601913452,0.5342913160319014
20,64,0.7,0.8802,132.20655298233032,0.46956611196401277
30,64,0.7,0.8884,155.6017289161682,0.42512910568685547
5,64,0.9,0.8297,91.2194619178772,1.2376175788546928
10,64,0.9,0.8532,103.56985068321228,0.8592112250864379
20,64,0.9,0.8654,127.54151725769043,0.6428694051132401
30,64,0.9,0.8741,152.59860134124756,0.56951895515357
5,128,0.3,0.8802,92.28708148002625,0.46788593700000725
10,128,0.3,0.8872,102.3513913154602,0.4216975086382521
20,128,0.3,0.8954,139.04911255836487,0.3977832708539549
30,128,0.3,0.894,162.9437437057495,0.38238193786331715
5,128,0.5,0.8716,97.28725385665894,0.5334962144168391
10,128,0.5,0.8834,106.27769374847412,0.47344738193062835
20,128,0.5,0.8919,150.05077147483826,0.41734247235759997
30,128,0.5,0.8829,178.94576287269592,0.39356183051777033
5,128,0.7,0.8631,95.02435088157654,0.654791332560498
10,128,0.7,0.8751,104.9428358078003,0.5217762403793808
20,128,0.7,0.883,136.6044900417328,0.46603274923493104
30,128,0.7,0.889,165.6759843826294,0.4300218761642413
5,128,0.9,0.8245,94.71996927261353,1.2281263476495803
10,128,0.9,0.8195,105.77366995811462,0.8638899031224282
20,128,0.9,0.8602,133.66666078567505,0.6482815452253641
30,128,0.9,0.8735,161.56864500045776,0.5630265937875837
5,256,0.3,0.8859,94.91009569168091,0.4832164561070168
10,256,0.3,0.8865,108.3969578742981,0.42846267299214286
20,256,0.3,0.8916,150.3927354812622,0.39306736575372053
30,256,0.3,0.8813,175.64863109588623,0.3794011925853519
5,256,0.5,0.8722,98.60132217407227,0.49559554896279695
10,256,0.5,0.8854,111.06535243988037,0.47320355314340423
20,256,0.5,0.8942,151.0643014907837,0.4201457135180737
30,256,0.5,0.8954,177.57714080810547,0.3946281739635699
5,256,0.7,0.8633,96.87014508247375,0.6310987313037741
10,256,0.7,0.8707,110.73823475837708,0.5181775740929632
20,256,0.7,0.8853,148.64268565177917,0.45899260819816134
30,256,0.7,0.8931,171.98934412002563,0.42749988662678684
5,256,0.9,0.7798,95.96381616592407,1.2548532494858127
10,256,0.9,0.8427,109.00832438468933,0.8528649130927473
20,256,0.9,0.862,145.1173300743103,0.6226023274952415
30,256,0.9,0.869,167.23483061790466,0.5712231898168003
